"Year","Perpetrator.Age","Relationship","Weapon","Perpetrator.Sex"
2014,19,"Neighbor","Firearm","Male"
2014,24,"Acquaintance","Firearm","Male"
2014,39,"Stranger","Blunt Object","Male"
2014,22,"Girlfriend","Firearm","Male"
2014,38,"Family","Knife","Male"
2014,26,"Acquaintance","Firearm","Male"
2014,28,"Girlfriend","Blunt Object","Male"
2014,17,"Stranger","Fire","Male"
2014,17,"Acquaintance","Knife","Male"
2014,38,"Wife","Handgun","Male"
2014,26,"Boyfriend","Knife","Female"
2014,44,"Acquaintance","Knife","Male"
2014,27,"Daughter","Suffocation","Female"
2014,40,"Acquaintance","Blunt Object","Male"
2014,20,"Stranger","Firearm","Male"
2014,21,"Mother","Knife","Male"
2014,26,"Acquaintance","Strangulation","Male"
2014,23,"Acquaintance","Blunt Object","Male"
2014,30,"Stranger","Handgun","Male"
2014,17,"Acquaintance","Handgun","Male"
2014,23,"Boyfriend","Blunt Object","Female"
2014,23,"Employer","Knife","Male"
2014,20,"Stranger","Firearm","Male"
2014,37,"Employer","Handgun","Male"
2014,25,"Acquaintance","Blunt Object","Male"
2014,19,"Family","Knife","Male"
2014,19,"Father","Handgun","Male"
2014,25,"Wife","Handgun","Male"
2014,21,"Mother","Knife","Male"
2014,69,"Daughter","Handgun","Male"
2014,31,"Acquaintance","Firearm","Male"
2014,20,"Family","Knife","Female"
2014,27,"Stranger","Firearm","Male"
2014,47,"Stranger","Shotgun","Male"
2014,29,"Wife","Handgun","Male"
2014,37,"Family","Handgun","Male"
2014,26,"Family","Knife","Male"
2014,50,"Friend","Shotgun","Male"
2014,61,"Acquaintance","Suffocation","Male"
2014,42,"Wife","Firearm","Male"
2014,40,"Friend","Firearm","Male"
2014,40,"Friend","Firearm","Male"
2014,40,"Friend","Firearm","Male"
2014,40,"Friend","Firearm","Male"
2014,40,"Friend","Firearm","Male"
2014,40,"Friend","Firearm","Male"
2014,26,"Girlfriend","Firearm","Male"
2014,26,"Girlfriend","Suffocation","Male"
2014,52,"Acquaintance","Fire","Female"
2014,28,"Friend","Handgun","Male"
2014,57,"Acquaintance","Knife","Male"
2014,38,"Acquaintance","Handgun","Male"
2014,21,"Acquaintance","Rifle","Male"
2014,30,"Girlfriend","Handgun","Male"
2014,29,"Son","Shotgun","Male"
2014,21,"Acquaintance","Handgun","Male"
2014,21,"Acquaintance","Handgun","Male"
2014,21,"Acquaintance","Handgun","Male"
2014,36,"Boyfriend","Shotgun","Female"
2014,36,"Boyfriend","Shotgun","Female"
2014,35,"Stranger","Knife","Male"
2014,20,"Son","Drugs","Male"
2014,27,"Friend","Handgun","Male"
2014,38,"Mother","Shotgun","Male"
2014,21,"Brother","Firearm","Male"
2014,30,"Father","Blunt Object","Male"
2014,32,"Girlfriend","Firearm","Male"
2014,61,"Husband","Knife","Female"
2014,35,"Family","Firearm","Male"
2014,20,"Acquaintance","Firearm","Male"
2014,23,"Father","Knife","Female"
2014,50,"Stranger","Handgun","Male"
2014,38,"Mother","Shotgun","Male"
2014,21,"Acquaintance","Knife","Male"
2014,21,"Stranger","Handgun","Male"
2014,17,"Acquaintance","Handgun","Male"
2014,24,"Boyfriend","Knife","Female"
2014,28,"Acquaintance","Handgun","Male"
2014,49,"Wife","Handgun","Male"
2014,49,"Wife","Handgun","Male"
2014,21,"Girlfriend","Knife","Male"
2014,19,"Friend","Knife","Male"
2014,26,"Father","Handgun","Male"
2014,24,"Acquaintance","Knife","Male"
2014,50,"In-Law","Firearm","Male"
2014,41,"Acquaintance","Rifle","Male"
2014,18,"Stepson","Handgun","Male"
2014,35,"Girlfriend","Knife","Male"
2014,26,"Daughter","Shotgun","Male"
2014,31,"Stranger","Handgun","Male"
2014,60,"Acquaintance","Handgun","Male"
2014,26,"Acquaintance","Handgun","Male"
2014,18,"Mother","Blunt Object","Male"
2014,54,"Acquaintance","Handgun","Male"
2014,28,"Stranger","Handgun","Male"
2014,24,"Family","Knife","Male"
2014,36,"Friend","Knife","Male"
2014,77,"Acquaintance","Handgun","Male"
2014,24,"Friend","Handgun","Male"
2014,23,"Friend","Handgun","Male"
2014,21,"Acquaintance","Handgun","Male"
2014,43,"Stranger","Handgun","Male"
2014,41,"Stepfather","Gun","Male"
2014,21,"Girlfriend","Handgun","Male"
2014,53,"Stranger","Handgun","Male"
2014,36,"Stranger","Handgun","Male"
2014,34,"Acquaintance","Firearm","Male"
2014,48,"Acquaintance","Handgun","Male"
2014,17,"Girlfriend","Handgun","Male"
2014,38,"Stranger","Handgun","Male"
2014,25,"Stranger","Handgun","Male"
2014,25,"Stranger","Handgun","Male"
2014,31,"Girlfriend","Strangulation","Male"
2014,16,"Boyfriend","Strangulation","Female"
2014,31,"Acquaintance","Knife","Male"
2014,25,"Stranger","Handgun","Male"
